URL,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/02Z6xD2aeJjqdzYG4pWQwr,0.617,0.442,-6.661,0.0275,0.714,0,0.114,0.256,112.99
https://open.spotify.com/track/02ZtIbjdZKpvdeUNmY0LWp,0.618,0.699,-5.696,0.0275,0.0109,0.00022,0.26,0.61,112.33
https://open.spotify.com/track/02Zvyy8e4ct5DUcWPujjYR,0.672,0.666,-5.953,0.26,0.00925,0,0.069,0.129,128.083
https://open.spotify.com/track/02c87RDmwYnc8P1XryWMbw,0.249,0.804,-8.421,0.0961,0.374,0.000115,0.697,0.438,186.178
https://open.spotify.com/track/02djQtbRlUjbQGrJjaG0Oj,0.517,0.671,-7.094,0.218,0.0491,0,0.0516,0.592,84.97
https://open.spotify.com/track/02ePjHjIiszSYqeLykvpTN,0.487,0.909,-3.484,0.0463,0.159,1.27E-06,0.303,0.51,125.418
https://open.spotify.com/track/02fE0025ZnGmvmHn5Hsyc8,0.803,0.584,-7.107,0.301,0.0724,5.58E-06,0.304,0.568,112.969
https://open.spotify.com/track/02gj0J38nzyO9lNi9mzi3A,0.586,0.865,-4.092,0.319,0.0345,5.55E-06,0.165,0.468,172.917
https://open.spotify.com/track/02iNlfTjSN5kZJXyJt8hzC,0.357,0.599,-10.509,0.0273,0.0163,1.77E-06,0.154,0.912,161.824
https://open.spotify.com/track/02jXZfT8IjNmdrKbnHBq1J,0.364,0.516,-8.872,0.0347,0.339,0.287,0.105,0.128,117.635
https://open.spotify.com/track/02l1qyQK6tBDHXxc4Ntyur,0.695,0.843,-5.645,0.0389,0.213,0,0.112,0.609,93.02
https://open.spotify.com/track/02nEC9PKnnAox6VKy4c40Q,0.73,0.806,-4.877,0.038,0.483,0.000561,0.137,0.933,130.725
https://open.spotify.com/track/02nSt61uWF8nGuUENWkwLi,0.5,0.246,-11.478,0.0308,0.86,0,0.118,0.258,98.019
https://open.spotify.com/track/02oNEaMFFRwvJ0eCGXQkMd,0.677,0.727,-5.873,0.155,0.149,0,0.26,0.434,130.161
https://open.spotify.com/track/02q0ZnV2L4XByzEvWZJqBC,0.539,0.846,-3.192,0.0354,0.0063,1.68E-06,0.13,0.46,106.992
https://open.spotify.com/track/02qWC8whwapWEVhZaE5Suf,0.213,0.191,-15.598,0.0369,0.953,0.0109,0.0675,0.125,181.657
https://open.spotify.com/track/02rPUxBl9gXJgTkBviIGKY,0.471,0.869,-5.931,0.342,0.0218,0,0.598,0.56,77.536
https://open.spotify.com/track/02ruGwr7rVoDGS94AXYwkD,0.323,0.367,-10.042,0.0281,0.441,0,0.152,0.241,99.918
https://open.spotify.com/track/02t0a1rmItzyIhNNThYRcG,0.75,0.563,-8.09,0.512,0.0623,0,0.351,0.498,120.086
https://open.spotify.com/track/02t5gEURbZvQ5q3xlqzBLq,0.732,0.717,-5.324,0.13,0.0814,3.57E-05,0.361,0.642,98.476
https://open.spotify.com/track/02uMHaAzIPAc1jkqL5OLFn,0.62,0.206,-9.611,0.0289,0.936,0,0.106,0.327,90.441
https://open.spotify.com/track/02wdwZ0ffTX0AAGYRNqMwF,0.703,0.763,-5.038,0.0883,0.0122,3.82E-05,0.0935,0.622,173.957
https://open.spotify.com/track/02yD6Wmpx5kLAoXLQOnuEb,0.4,0.398,-6.038,0.0385,0.786,3.47E-06,0.333,0.16,111.661
https://open.spotify.com/track/02yfvYyz5OON5v2rWEdtoz,0.739,0.727,-9.516,0.0784,0.197,5.92E-05,0.0589,0.548,130.576
